,text,polarity,sentiment
0,folks said daikon paste could treat cytokine storm pfizerbiontech,0.0,Neutral
1,world wrong side history year hopefully biggest vaccination effort weve ev,-0.5,Negative
2,coronavirus sputnikv astrazeneca pfizerbiontech moderna covid_19 russian vaccine created last 24 years,0.0,Neutral
3,facts immutable senator even youre ethically sturdy enough acknowledge 1 born,0.1,Positive
4,explain need vaccine borisjohnson matthancock whereareallthesickpeople pfizerbiontech,0.0,Neutral
5,anyone useful adviceguidance whether covid vaccine safe whilst breastfeeding,0.4,Positive
6,bit sad claim fame success vaccination patriotic competition usa canada uk,-0.1,Negative
7,many bright days 2020 best 1 bidenharris winning election2020,0.675,Positive
8,covid vaccine getting covidvaccine covid19 pfizerbiontech moderna,0.0,Neutral
9,covidvaccine states start getting covid19vaccine monday us says pakustv nyc healthcare globalgoals,0.0,Neutral
10,deaths closing 300000 mark millions people wait pfizerbiontech vaccine first u,0.25,Positive
11,cnnbrk covid19 covidvaccine vaccine corona pfizerbiontech bbcnews nytimes bbcnews best wishes us,1.0,Positive
12,agency also released new information health care providers patients us shipped millions,0.13636363636363635,Positive
13,women healthcare providers asking safety pfizerbiontech,0.0,Neutral
14,expect 145 sites across states receive vaccine monday another 425 sites tuesday said offic,0.0,Neutral
15,trump announces vaccine rollout less 24 hours first americans vaccinated,0.04166666666666667,Positive
16,updated yellowfever amp covid19 immunitypassports part two sarscov2 pfizerbiontech britain december,0.0,Neutral
17,coronavirus iran reports 8201 new cases 221 deaths last 24 hours iran coronavirus pfizerbiontech,0.06818181818181818,Positive
18,pfizer rake billions expensive covidvaccine albertbourla refuses cut price lowe,-0.5,Negative
19,trump administration failed deliver vaccine promises shocker covidiots coronavirus covidvaccine,-0.5,Negative
20,much fda get paid approve sudden money makes world go around vaccine,0.1,Positive
21,anyone wondering day pfizerbiontech approval uk people getting vaccinated tol,0.0,Neutral
23,us food drug administration fda granted emergency use authorization pfizerbiontechs mrna,0.0,Neutral
24,presenting top medical newsadvancement past week dont want miss docnosofficial covid19,0.08333333333333333,Positive
25,no1 2 done thankyounhs nhsuk mhragovuk pfizerbiontech pfizer making covidvaccine dream poss,0.0,Neutral
26,wear mask wash hands remain socially distant possible stayhome stayathome stayathomesavelives,-0.05,Negative
27,avgerinosmoscow pfizerbiontech fda approval apprentice style realdonaldtrump approve vaccine,0.0,Neutral
28,interesting detailed article showing well tested supplychain sharedvisibility help,0.45,Positive
29,vaccine trumpvaccine astrazeneca pfizerbiontech pfizervaccine pfizercovidvaccine pfizers covid19 belong,0.0,Neutral
30,zubymusic 6 deaths far death nothing worry covidvaccines pfizervaccine,0.1,Positive
31,sbnumb3 nytimes please dont spread fake news evidence cases linked,-0.5,Negative
32,icymi fda authorized pfizerbiontech covid19 vaccine united states last night,0.0,Neutral
33,respect due process give approval instead 29th december surely multiple cou,-0.0625,Negative
34,vaccine anyone covid pfizervaccine pfizerbiontech,0.0,Neutral
35,immigrant muslim couple find covid19 vaccine covidvaccine pfizerbiontech pfizervaccine pfizerproud,0.0,Neutral
36,fda finally issues eua comes problem transporting pfizerbiontech vaccine needs kept,0.0,Neutral
37,ladies gentlemen covidvaccine experts every household pakistan pfizerbiontech oxfordvaccine,0.0,Neutral
38,fact sheet healthcare providers administering vaccine pfizerbiontech covidvaccine,0.0,Neutral
39,mirekr9 sputnikvaccine astrazeneca check table 23 tables took penny w,0.0,Neutral
40,mirekr9 sputnikvaccine astrazeneca one doesnt side effects pfizerbiontech,0.0,Neutral
41,fact sheet recipients caregivers pfizerbiontech covidvaccine,0.0,Neutral
42,covidvaccine pfizerbiontech covid19 pfizerbiontech covid19 capetown,0.0,Neutral
